Investigator,Yossi,Time (s),Electrode,Amplitude (mV),,
,,658.21304,B3_28,0.007,,
,,658.2132,A3_48,0.006,,
,,658.2132,A3_55,0.006,,
,,658.2132,B3_25,0.008,,
,,658.21336,B2_85,0.007,,
,,658.21336,B3_76,0.007,,
,,658.21344,B3_82,0.01,,
,,658.21352,A2_82,0.009,,
,,658.21352,A3_45,0.005,,
,,658.21352,B1_32,0.006,,
,,658.2136,B2_16,0.01,,
,,658.21368,A1_58,0.005,,
,,658.21368,B2_35,0.007,,
,,658.21376,B1_38,0.007,,
,,658.21384,A2_11,0.006,,
,,658.21392,B2_32,0.008,,
,,658.21432,B3_63,0.009,,
,,658.21448,A2_14,0.011,,
,,658.21448,A2_24,0.016,,
,,658.2148,B1_62,0.014,,
,,658.21488,B1_71,0.013,,
,,658.21512,B3_71,0.008,,
,,672.29656,A3_77,0.011,,
,,672.29712,A2_81,0.092,,
,,672.29712,A3_81,0.093,,
,,672.29712,B1_32,0.016,,
,,672.29712,B1_62,0.079,,
,,672.2972,B1_71,0.024,,
,,672.29728,B3_85,0.011,,
,,672.29736,A3_88,0.012,,
,,672.29744,B3_28,0.012,,
,,672.29752,B1_18,0.015,,
,,672.29768,A3_43,0.01,,
,,672.29848,B2_81,0.018,,
,,672.30296,A1_76,0.009,,
,,672.3096,B1_15,0.009,,
,,672.3096,B1_28,0.018,,
,,672.3096,B2_62,0.007,,
,,672.3096,B2_83,0.015,,
,,672.30968,B1_26,0.008,,
,,672.30984,B1_42,0.017,,
,,672.30984,B2_53,0.006,,
,,672.31,A3_44,0.009,,
,,672.31,A3_52,0.006,,
,,672.31,B3_31,0.009,,
,,672.31008,A2_15,0.012,,
,,672.31008,A3_72,0.014,,
,,672.31008,B2_37,0.013,,
,,672.31008,B2_84,0.01,,
,,672.31024,B2_76,0.014,,
,,672.31032,A1_73,0.012,,
,,672.31032,B1_75,0.017,,
,,672.3104,A1_85,0.011,,
,,672.3104,A3_41,0.007,,
,,672.31048,A1_36,0.009,,
,,672.31056,A1_38,0.009,,
,,672.31064,B1_57,0.009,,
,,672.31072,B2_43,0.009,,
,,672.31088,B3_21,0.012,,
,,672.31104,B1_85,0.007,,
,,672.3116,A1_88,0.011,,
,,672.3116,B2_72,0.015,,
,,672.31168,B2_18,0.015,,
,,672.31176,A1_35,0.013,,
,,672.31176,A3_37,0.012,,
,,672.31176,B1_86,0.013,,
,,672.31192,B1_52,0.014,,
,,672.31208,A3_18,0.013,,
,,672.31208,B3_52,0.006,,
,,672.31216,A2_51,0.016,,
,,672.31232,A1_61,0.005,,
,,672.3124,A3_25,0.005,,
,,672.31248,B3_16,0.004,,
,,672.31256,A3_35,0.005,,
,,672.31264,A3_28,0.006,,
,,672.31264,B3_34,0.007,,
,,672.31272,A3_17,0.007,,
,,672.3128,A3_43,0.005,,
,,672.3128,A3_48,0.003,,
,,672.3128,B3_47,0.01,,
,,672.31288,A3_83,0.01,,
,,672.31296,A1_76,0.009,,
,,672.31296,B1_25,0.006,,
,,672.31304,B1_33,0.007,,
,,672.31304,B3_82,0.009,,
,,672.31312,B1_43,0.006,,
,,672.31312,B1_45,0.009,,
,,672.3132,A1_17,0.008,,
,,672.3132,A1_33,0.007,,
,,672.3132,A1_58,0.006,,
,,672.3132,A3_22,0.007,,
,,672.3132,B1_23,0.005,,
,,672.3132,B2_11,0.009,,
,,672.3132,B3_25,0.009,,
,,672.31328,A3_45,0.004,,
,,672.31328,A3_56,0.005,,
,,672.31328,B1_87,0.005,,
,,672.31328,B3_14,0.008,,
,,672.31336,A2_82,0.011,,
,,672.31336,B1_54,0.009,,
,,672.31336,B3_41,0.008,,
,,672.31336,B3_85,0.009,,
,,672.31344,B1_13,0.003,,
,,672.31344,B1_63,0.007,,
,,672.31352,B3_37,0.012,,
,,672.3136,B1_42,0.012,,
,,672.31368,B2_34,0.007,,
,,672.31376,B1_88,0.008,,
,,672.31376,B2_36,0.007,,
,,672.31392,A3_55,0.007,,
,,672.31392,B2_14,0.011,,
,,672.31408,A2_61,0.008,,
,,672.31408,B2_55,0.008,,
,,672.31416,A2_11,0.01,,
,,672.31424,B3_63,0.006,,
,,672.31448,A2_14,0.009,,
,,672.31464,B1_62,0.009,,
,,672.31472,B1_71,0.013,,
,,672.31504,B3_71,0.016,,
,,685.19992,B2_46,0.012,,
,,686.39616,B3_34,0.026,,
,,686.39712,A1_81,0.107,,
,,686.39712,B1_81,0.102,,
,,686.39712,B3_81,0.104,,
,,686.3972,A2_81,0.105,,
,,686.3972,A3_81,0.106,,
,,686.39736,A2_66,0.01,,
,,686.39736,A3_85,0.015,,
,,686.39736,B3_33,0.013,,
,,686.3996,B1_43,0.007,,
,,686.39992,B1_38,0.014,,
,,686.40032,A1_58,0.01,,
,,686.4096,B2_15,0.014,,
,,686.40968,A3_36,0.014,,
,,686.40968,B2_88,0.014,,
,,686.40976,B2_53,0.01,,
,,686.40992,B2_62,0.009,,
,,686.41,B2_84,0.013,,
,,686.41008,B2_44,0.01,,
,,686.41016,B1_17,0.011,,
,,686.41024,A2_88,0.01,,
,,686.41024,B3_31,0.01,,
,,686.41032,A2_85,0.012,,
,,686.41032,B2_38,0.011,,
,,686.4104,A1_28,0.009,,
,,686.4104,A2_63,0.009,,
,,686.4104,B1_53,0.01,,
,,686.41048,A1_27,0.011,,
,,686.41048,B1_55,0.013,,
,,686.41048,B3_21,0.012,,
,,686.41056,A1_36,0.014,,
,,686.41056,A1_74,0.013,,
,,686.41056,B1_57,0.008,,
,,686.41056,B2_25,0.008,,
,,686.41064,A3_41,0.01,,
,,686.41064,B2_37,0.013,,
,,686.41072,A1_13,0.018,,
,,686.41072,A1_55,0.01,,
,,686.41072,A3_15,0.008,,
,,686.4108,A2_57,0.012,,
,,686.4108,A2_86,0.014,,
,,686.4108,B1_11,0.01,,
,,686.41088,A1_51,0.013,,
,,686.41096,A1_11,0.012,,
,,686.41104,B1_24,0.012,,
,,686.41112,B1_35,0.013,,
,,686.41168,A3_16,0.015,,
,,686.41176,A2_73,0.014,,
,,686.41184,A2_67,0.014,,
,,686.41192,B3_26,0.015,,
,,686.412,B1_33,0.016,,
,,686.41216,A2_21,0.01,,
,,686.4124,B3_52,0.006,,
,,686.41256,B3_16,0.005,,
,,686.41288,A3_25,0.005,,
,,686.41288,A3_28,0.005,,
,,686.41288,A3_35,0.009,,
,,686.41288,B3_34,0.006,,
,,686.41296,B2_65,0.008,,
,,686.41296,B3_47,0.009,,
,,686.41312,B1_13,0.009,,
,,686.41312,B1_25,0.005,,
,,686.41312,B1_43,0.007,,
,,686.41312,B1_54,0.003,,
,,686.4132,A1_17,0.007,,
,,686.4132,B3_83,0.007,,
,,686.41328,A1_58,0.007,,
,,686.41328,B1_87,0.009,,
,,686.41344,A2_61,0.007,,
,,686.41344,B1_23,0.007,,
,,686.41352,A1_76,0.01,,
,,686.41352,A2_82,0.01,,
,,686.41352,B1_32,0.007,,
,,686.41352,B2_27,0.007,,
,,686.41352,B2_51,0.008,,
,,686.41352,B2_55,0.009,,
,,686.41368,A2_11,0.009,,
,,686.41376,A3_45,0.009,,
,,686.41392,A2_37,0.008,,
,,686.41392,B1_46,0.009,,
,,686.41392,B1_63,0.008,,
,,686.414,B2_32,0.009,,
,,686.41432,A2_16,0.008,,
,,686.41432,A2_27,0.007,,
,,686.41448,A2_14,0.016,,
,,686.41448,B3_63,0.012,,
,,686.41456,B1_38,0.009,,
,,686.41456,B1_71,0.013,,
,,686.41472,A2_24,0.016,,
,,686.41488,B3_71,0.007,,
,,686.41504,B1_62,0.01,,
,,694.11544,B3_64,0.011,,
,,700.49664,A1_14,0.013,,
,,700.4972,A1_81,0.07,,
,,700.4972,A2_37,0.013,,
,,700.4972,B1_62,0.076,,
,,700.4972,B3_81,0.067,,
,,700.49728,A2_81,0.062,,
,,700.49728,A3_81,0.059,,
,,700.49728,B1_34,0.01,,
,,700.49736,B2_71,0.014,,
,,700.49744,A3_84,0.013,,
,,700.49784,A2_28,0.014,,
,,700.49872,B2_81,0.009,,
,,700.50008,B1_88,0.013,,
,,700.5096,A1_62,0.011,,
,,700.5096,B2_62,0.007,,
,,700.50976,B2_53,0.008,,
,,700.50992,B2_42,0.008,,
,,700.51008,B1_53,0.012,,
,,700.51016,A1_37,0.007,,
,,700.51016,B1_17,0.014,,
,,700.51016,B1_37,0.009,,
,,700.51016,B3_53,0.011,,
,,700.51016,B3_65,0.013,,
,,700.51024,B1_55,0.012,,
,,700.51024,B3_31,0.007,,
,,700.51032,A1_28,0.008,,
,,700.51032,A1_38,0.007,,
,,700.51032,B2_44,0.006,,
,,700.5104,A1_73,0.011,,
,,700.5104,B3_13,0.007,,
,,700.51056,B2_22,0.011,,
,,700.51064,A1_52,0.013,,
,,700.51064,A3_41,0.009,,
,,700.51064,A3_44,0.009,,
,,700.51072,A1_27,0.008,,
,,700.5108,B1_85,0.01,,
,,700.51088,B2_25,0.01,,
,,700.51088,B3_21,0.011,,
,,700.51104,A2_85,0.012,,
,,700.51104,B1_11,0.01,,
,,700.51168,B2_24,0.011,,
,,700.51176,A1_71,0.008,,
,,700.51176,A2_36,0.015,,
,,700.51176,A2_86,0.014,,
,,700.51192,B3_85,0.019,,
,,700.512,B1_18,0.015,,
,,700.512,B2_74,0.015,,
,,700.51224,A2_83,0.014,,
,,700.5124,A1_61,0.008,,
,,700.51256,B3_16,0.005,,
,,700.51264,A3_25,0.007,,
,,700.51264,B3_52,0.007,,
,,700.5128,B3_34,0.006,,
,,700.51288,A3_28,0.004,,
,,700.51288,B3_41,0.006,,
,,700.51288,B3_47,0.007,,
,,700.5132,B1_43,0.005,,
,,700.5132,B2_34,0.006,,
,,700.5132,B3_14,0.009,,
,,700.5132,B3_28,0.008,,
,,700.5132,B3_37,0.007,,
,,700.51328,A3_48,0.006,,
,,700.51328,B1_87,0.005,,
,,700.51328,B2_11,0.007,,
,,700.51336,A3_16,0.007,,
,,700.51336,B1_23,0.009,,
,,700.51336,B3_76,0.007,,
,,700.51344,B1_25,0.01,,
,,700.51352,B2_28,0.007,,
,,700.5136,A3_63,0.009,,
,,700.5136,B1_13,0.006,,
,,700.5136,B1_54,0.008,,
,,700.5136,B2_51,0.009,,
,,700.51368,A3_17,0.007,,
,,700.51368,B1_88,0.006,,
,,700.51368,B2_85,0.011,,
,,700.51376,A2_61,0.006,,
,,700.51384,A1_17,0.005,,
,,700.51392,B2_55,0.006,,
,,700.514,A2_53,0.012,,
,,700.514,A3_55,0.008,,
,,700.514,B1_38,0.01,,
,,700.514,B1_45,0.009,,
,,700.51416,A3_45,0.01,,
,,700.51432,B3_63,0.008,,
,,700.51456,A2_14,0.013,,
,,700.51472,B1_71,0.016,,
,,700.51488,B1_62,0.014,,
,,700.5152,B3_71,0.013,,
,,714.59712,B1_46,0.012,,
,,714.59728,A1_71,0.013,,
,,714.59728,A2_81,0.112,,
,,714.59728,A3_81,0.116,,
,,714.59728,B1_81,0.087,,
,,714.59728,B3_33,0.011,,
,,714.59728,B3_81,0.119,,
,,714.59744,A1_34,0.01,,
,,714.59744,B3_17,0.011,,
,,714.59768,A3_14,0.013,,
,,714.59976,B3_16,0.01,,
,,714.60056,B2_34,0.009,,
,,714.60056,B2_51,0.012,,
,,714.60632,A3_77,0.009,,
,,714.60976,B1_28,0.01,,
,,714.60984,B1_26,0.01,,
,,714.60992,B2_42,0.011,,
,,714.60992,B2_53,0.006,,
,,714.60992,B2_76,0.011,,
,,714.61016,B2_62,0.013,,
,,714.61024,B2_37,0.012,,
,,714.61024,B3_21,0.003,,
,,714.61024,B3_44,0.007,,
,,714.61032,A1_13,0.01,,
,,714.61032,B2_25,0.01,,
,,714.61032,B3_31,0.012,,
,,714.61048,A1_41,0.011,,
,,714.61048,A1_85,0.011,,
,,714.61056,B3_53,0.012,,
,,714.61064,A1_38,0.013,,
,,714.61064,A1_63,0.012,,
,,714.61064,B2_43,0.012,,
,,714.61064,B3_68,0.008,,
,,714.61072,A1_28,0.006,,
,,714.61072,B1_17,0.013,,
,,714.6108,A1_36,0.007,,
,,714.6108,A3_15,0.009,,
,,714.6108,A3_51,0.011,,
,,714.61088,A2_46,0.012,,
,,714.61112,A2_85,0.011,,
,,714.61112,B1_85,0.008,,
,,714.61176,B1_83,0.011,,
,,714.61184,A1_26,0.012,,
,,714.61184,B2_64,0.016,,
,,714.61184,B3_36,0.011,,
,,714.61192,B2_31,0.014,,
,,714.61192,B2_61,0.017,,
,,714.61192,B3_55,0.012,,
,,714.612,A2_23,0.014,,
,,714.61208,B2_75,0.014,,
,,714.61216,B2_67,0.015,,
,,714.61272,B3_14,0.006,,
,,714.6128,B3_16,0.006,,
,,714.6128,B3_76,0.005,,
,,714.61288,A3_43,0.007,,
,,714.61288,A3_74,0.009,,
,,714.61288,B3_52,0.006,,
,,714.61304,B3_34,0.008,,
,,714.61304,B3_47,0.008,,
,,714.61312,B1_87,0.003,,
,,714.6132,B1_25,0.006,,
,,714.6132,B3_25,0.009,,
,,714.61328,A1_17,0.005,,
,,714.61328,B2_34,0.007,,
,,714.61336,B1_13,0.005,,
,,714.61336,B1_43,0.009,,
,,714.61344,A3_25,0.007,,
,,714.61352,A3_34,0.007,,
,,714.61352,A3_48,0.006,,
,,714.61352,B1_54,0.005,,
,,714.61352,B2_11,0.005,,
,,714.6136,A3_56,0.005,,
,,714.6136,B1_23,0.009,,
,,714.6136,B1_63,0.006,,
,,714.61368,B2_51,0.007,,
,,714.61376,A1_58,0.006,,
,,714.61376,A2_51,0.007,,
,,714.61376,A2_61,0.005,,
,,714.61384,A2_11,0.01,,
,,714.61384,B1_38,0.008,,
,,714.61384,B2_55,0.008,,
,,714.61384,B3_67,0.009,,
,,714.61392,A2_27,0.007,,
,,714.614,A2_37,0.008,,
,,714.61408,A3_16,0.012,,
,,714.61424,B1_18,0.01,,
,,714.61424,B1_33,0.007,,
,,714.61424,B2_32,0.006,,
,,714.61448,B1_34,0.01,,
,,714.61448,B3_63,0.009,,
,,714.61464,A2_14,0.015,,
,,714.61488,B1_62,0.009,,
,,714.61496,A2_24,0.019,,
,,714.61504,B3_71,0.01,,
,,728.69728,A2_81,0.114,,
,,728.69728,A3_81,0.099,,
,,728.69728,B3_81,0.103,,
,,728.69736,A1_81,0.096,,
,,728.69744,A2_44,0.011,,
,,728.69744,B1_71,0.019,,
,,728.69784,A1_34,0.012,,
,,728.70984,B2_62,0.009,,
,,728.71,B2_42,0.011,,
,,728.71,B2_53,0.011,,
,,728.71016,A2_46,0.005,,
,,728.71032,B2_38,0.01,,
,,728.71032,B2_44,0.013,,
,,728.7104,B2_37,0.008,,
,,728.71048,A1_36,0.015,,
,,728.71048,A3_44,0.012,,
,,728.71048,A3_46,0.014,,
,,728.71048,B3_21,0.011,,
,,728.71048,B3_61,0.01,,
,,728.71048,B3_72,0.015,,
,,728.71056,A1_28,0.005,,
,,728.71072,A1_11,0.007,,
,,728.71072,A1_13,0.007,,
,,728.71072,A1_27,0.008,,
,,728.71072,A1_73,0.014,,
,,728.71072,B2_25,0.011,,
,,728.7108,A3_15,0.011,,
,,728.7108,B3_62,0.008,,
,,728.71088,A2_85,0.012,,
,,728.71088,B1_61,0.012,,
,,728.71096,B3_46,0.011,,
,,728.71112,A2_57,0.011,,
,,728.71112,A3_41,0.009,,
,,728.71112,B2_43,0.009,,
,,728.71184,A1_71,0.013,,
,,728.71184,A2_77,0.011,,
,,728.71192,A3_37,0.01,,
,,728.71192,A3_54,0.016,,
,,728.71192,B2_47,0.014,,
,,728.71192,B2_68,0.012,,
,,728.71192,B2_74,0.012,,
,,728.712,B1_21,0.012,,
,,728.712,B2_52,0.012,,
,,728.71208,A1_82,0.013,,
,,728.71208,A3_11,0.009,,
,,728.71216,B1_58,0.015,,
,,728.71248,B2_12,0.014,,
,,728.71248,B2_27,0.016,,
,,728.71256,A3_25,0.005,,
,,728.71264,A2_71,0.011,,
,,728.71272,B3_82,0.006,,
,,728.71296,B3_16,0.008,,
,,728.71296,B3_27,0.007,,
,,728.71304,A3_28,0.004,,
,,728.71312,A1_61,0.008,,
,,728.71312,A3_22,0.006,,
,,728.71312,B3_14,0.007,,
,,728.71312,B3_34,0.007,,
,,728.71312,B3_47,0.005,,
,,728.7132,A3_83,0.008,,
,,728.71328,A1_17,0.004,,
,,728.71328,A3_45,0.006,,
,,728.71328,B1_54,0.005,,
,,728.71328,B3_55,0.009,,
,,728.71336,B3_85,0.006,,
,,728.71344,A3_35,0.008,,
,,728.71344,A3_56,0.008,,
,,728.71352,A3_48,0.006,,
,,728.7136,B2_11,0.012,,
,,728.7136,B2_55,0.008,,
,,728.71368,B1_25,0.005,,
,,728.71368,B1_43,0.007,,
,,728.71368,B2_34,0.007,,
,,728.71384,B1_87,0.008,,
,,728.71384,B2_51,0.008,,
,,728.71392,A1_58,0.007,,
,,728.71392,A2_27,0.009,,
,,728.71392,A3_43,0.009,,
,,728.71392,B1_13,0.006,,
,,728.71392,B3_52,0.011,,
,,728.714,B3_77,0.009,,
,,728.71408,A2_11,0.007,,
,,728.71408,B1_46,0.008,,
,,728.71416,A1_33,0.008,,
,,728.71424,A3_64,0.009,,
,,728.71424,B2_68,0.01,,
,,728.71432,A2_21,0.009,,
,,728.71456,B3_63,0.013,,
,,728.71464,A2_14,0.01,,
,,728.71464,A2_61,0.009,,
,,728.71504,B3_71,0.013,,
,,728.7152,B1_71,0.013,,
,,743.27464,B1_62,0.041,,
,,743.27536,B1_71,0.038,,
,,743.276,A2_24,0.017,,
,,743.278,B1_71,0.027,,
,,743.27808,B1_62,0.014,,
,,743.27896,A2_24,0.014,,
,,743.28272,A2_24,0.016,,
,,743.28752,B1_71,0.009,,
,,743.2876,B1_62,0.008,,
,,851.26672,A2_78,0.011,,
,,852.73808,B2_71,0.011,,
,,,,,,
Well Information,,,,,,
Well,A1,A2,A3,B1,B2,B3
Active,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Well Coloring,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00
Control,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Treatment,,,,,,
Concentration,,,,,,
Additional Information,,,,,,
